segment,value,count,mae,rmse,r2
Outlet_Type,Grocery Store,224,138.60759323164564,201.56116227128126,0.344681654134009
Outlet_Type,Supermarket Type1,1131,779.7713875614986,1087.746924682013,0.4445642692458437
Outlet_Type,Supermarket Type2,176,711.6903956270817,1003.1312188000458,0.43545211475378265
Outlet_Type,Supermarket Type3,174,1086.4554395668795,1406.3625969903214,0.48684199329696165
Outlet_Location_Type,Tier 1,512,665.7347442498423,986.1751350879935,0.559033467228038
Outlet_Location_Type,Tier 2,546,760.396382913271,1081.1733800347724,0.47145300754913066
Outlet_Location_Type,Tier 3,647,728.3426309186734,1063.9249323574625,0.6719642623455766
Outlet_Size,High,188,759.9134843900387,1048.1501320808115,0.47936760894786246
Outlet_Size,Medium,560,859.1420711269005,1166.8557882080834,0.5681587160598466
Outlet_Size,Small,482,622.2339898054986,934.4435222617836,0.6189106371952329
Outlet_Size,nan,475,638.6741438911686,1003.843399057216,0.5885587576708822
Item_Type,Baking Goods,139,646.310016698837,888.0474009230383,0.6174880119848718
Item_Type,Breads,61,722.5259043892688,1083.3675006173466,0.5521785446726257
Item_Type,Breakfast,24,651.3200865925614,864.5647648993995,0.69749896347957
Item_Type,Canned,136,693.5611954518403,1021.315361752449,0.5596532126438551
Item_Type,Dairy,146,787.2126604173698,1275.8151533062294,0.6226756918957954
Item_Type,Frozen Foods,175,754.0867761330627,1082.5183091820165,0.5716586409800495
Item_Type,Fruits and Vegetables,230,792.0166599661129,1133.8131061136467,0.5817569531428448
Item_Type,Hard Drinks,31,645.0504157216744,930.2356171348378,0.7144837633345704
Item_Type,Health and Hygiene,111,712.0325665735495,1011.3240903889066,0.6016460913863773
Item_Type,Household,166,739.1816444107862,1041.6108326291148,0.5615851615173107
Item_Type,Meat,100,624.4451656496855,916.0061471056728,0.6321547577128281
Item_Type,Others,30,552.3641926975306,805.15025781563,0.6564457509052501
Item_Type,Seafood,16,853.7469580859042,1113.1772453751985,0.615045842814728
Item_Type,Snack Foods,229,755.7550027591959,1038.4689579008443,0.5605599908667152
Item_Type,Soft Drinks,91,628.4965299552293,991.4991331351475,0.5952234581817679
Item_Type,Starchy Foods,20,483.4124431843212,673.9935526405762,0.781498377133115
